phone_number,language,voice_id,first_message,prompt,city,other_dyn_variable
+447833315510,en,,,,Blackfield,
+442381940266,en,,,,Nursling,
+441134734007,en,,,,Farsley,
+441737223897,en,,,,Reigate,
+447846188991,en,,,,Armley,
+441483331914,en,,,,Guildford,
+441708533177,en,,,,Romford,
+447853194786,en,,,,Bedford,
+447861737505,en,,,,East Malling,
+441458256557,en,,,,Langport,
+441495773388,en,,,,Garndiffaith,
+448000665579,en,,,,Bournemouth,
+441246859722,en,,,,North Wingfield,
+441793329552,en,,,,Swindon,
+447432512876,en,,,,Meopham,
+447912251179,en,,,,Cheltenham,
+441952460078,en,,,,Shifnal,
+447925112306,en,,,,Worthing,
+442393780444,en,,,,Gosport,
+447543050329,en,,,,Wallsend,
+447789901137,en,,,,Southsea,
+441388816088,en,,,,Crook,
+441638756073,en,,,,Mildenhall,
+441452384829,en,,,,Gloucester,
+441634222770,en,,,,Chatham,
+441453889830,en,,,,Dursley,
+441543888308,en,,,,Burntwood,
+447858181847,en,,,,Hastings,
+441273492889,en,,,,Hove,
+441305756969,en,,,,Weymouth,
+441926630101,en,,,,Leamington Spa,
+441329551177,en,,,,Fareham,
+441914772424,en,,,,Gateshead,
+441235522266,en,,,,Abingdon,
+441274870255,en,,,,Bradford,
+441562633969,en,,,,Kidderminster,
+447598168676,en,,,,Canterbury,
+441787221166,en,,,,Sudbury,
+447900012007,en,,,,Walsall,
+441392201166,en,,,,Exeter,
+441708333399,en,,,,Hornchurch,
+447496789012,en,,,,Birmingham,
+441902321654,en,,,,Wolverhampton,
+447789321456,en,,,,Coventry,
+441234567890,en,,,,Bedford,
+447956789123,en,,,,Luton,
+441582789456,en,,,,Dunstable,
+447834567891,en,,,,Milton Keynes,
+441908234567,en,,,,Bletchley,
+447712345678,en,,,,Aylesbury,
+441296456789,en,,,,Buckingham,
+447890123456,en,,,,High Wycombe,
+441494789123,en,,,,Marlow,
+447645321987,en,,,,Maidenhead,
+441628654321,en,,,,Windsor,
+447523698741,en,,,,Slough,
+441753987654,en,,,,Eton,
+447412369874,en,,,,Reading,
+441184567890,en,,,,Wokingham,
+447369874123,en,,,,Bracknell,
+441344258963,en,,,,Ascot,
+447258741369,en,,,,Camberley,
+441276963852,en,,,,Farnborough,
+447147852963,en,,,,Aldershot,
+441252741852,en,,,,Fleet,
+447036925814,en,,,,Farnham,
+441420369741,en,,,,Alton,
+447925814736,en,,,,Basingstoke,
+441256147963,en,,,,Tadley,
+447814736925,en,,,,Andover,
+441264852741,en,,,,Whitchurch,
+447703691482,en,,,,Winchester,
+441962258147,en,,,,Eastleigh,
+447592583074,en,,,,Southampton,
+442380147852,en,,,,Totton,
+447481592637,en,,,,Romsey,
+441794036925,en,,,,Lyndhurst,
+447370481596,en,,,,Lymington,
+441590258147,en,,,,New Milton,
+447259370482,en,,,,Christchurch,
+441425147963,en,,,,Ringwood,
+447148259374,en,,,,Poole,
+441202036925,en,,,,Wareham,
+447037148260,en,,,,Swanage,
+441929258147,en,,,,Dorchester,
+447926037149,en,,,,Weymouth,
+441305481592,en,,,,Bridport,
+447815037149,en,,,,Sherborne,
+441935260374,en,,,,Yeovil,
+447704815926,en,,,,Crewkerne,
+441460037148,en,,,,Chard,
+447593704815,en,,,,Taunton,
+441823259370,en,,,,Wellington,
+447482593041,en,,,,Burnham-on-Sea,
+441278370481,en,,,,Bridgwater,
+447371482590,en,,,,Weston-super-Mare,
+441934259370,en,,,,Clevedon,
+447260371485,en,,,,Portishead,
+441275814926,en,,,,Nailsea,
+447149260375,en,,,,Bristol,
+441179371482,en,,,,Bath,
+447038149263,en,,,,Keynsham,
+441179482596,en,,,,Chipping Sodbury,
+447927038149,en,,,,Thornbury,
+441454260374,en,,,,Yate,
+447816927038,en,,,,Dursley,
+441453149260,en,,,,Stroud,
+447705816927,en,,,,Cirencester,
+441285038149,en,,,,Tetbury,
+447594705816,en,,,,Malmesbury,
+441666927038,en,,,,Chippenham,
+447483594708,en,,,,Calne,
+441249816927,en,,,,Devizes,
+447372483597,en,,,,Marlborough,
+441672705816,en,,,,Hungerford,
+447261372484,en,,,,Newbury,
+441635594708,en,,,,Thatcham,
+447150261373,en,,,,Theale,
+441189483597,en,,,,Wokingham,
+447039150264,en,,,,Crowthorne,
+441344705817,en,,,,Sandhurst,
+447928039151,en,,,,Yateley,
+441252264374,en,,,,Blackwater,
+447817928039,en,,,,Camberley,
+441276150264,en,,,,Bagshot,
+447706817928,en,,,,Virginia Water,
+441344039151,en,,,,Sunningdale,
+447595706818,en,,,,Datchet,
+441753928039,en,,,,Burnham,
+447484595707,en,,,,Beaconsfield,
+441494817928,en,,,,Gerrards Cross,
+447373484596,en,,,,Iver,
+441753706818,en,,,,Langley,
+447262373485,en,,,,Slough,
+441753595707,en,,,,Colnbrook,
+447151262374,en,,,,Hayes,
+442081484596,en,,,,Southall,
+447040151263,en,,,,Ealing,
+442089373485,en,,,,Acton,
+447929040152,en,,,,Chiswick,
+442087262374,en,,,,Hammersmith,
+447818929041,en,,,,Fulham,
+442073151263,en,,,,Chelsea,
+447707818929,en,,,,Kensington,
+442074040152,en,,,,Notting Hill,
+447596707819,en,,,,Paddington,
+442079262374,en,,,,Marylebone,
+447485596708,en,,,,Fitzrovia,
+442076151263,en,,,,Bloomsbury,
+447374485597,en,,,,Camden,
+442074040152,en,,,,Kings Cross,
+447263374486,en,,,,Islington,
+442076596708,en,,,,Hackney,
+447152263375,en,,,,Bethnal Green,
+442082485597,en,,,,Whitechapel,
+447041152264,en,,,,Tower Hamlets,
+442073374486,en,,,,City of London,
+447930041153,en,,,,Southwark,
+442072263375,en,,,,Bermondsey,
+447819930042,en,,,,Rotherhithe,
+442074152264,en,,,,Greenwich,
+447708819931,en,,,,Blackheath,
+442083041153,en,,,,Lewisham,
+447597708820,en,,,,Catford,
+442086930042,en,,,,Bromley,
+447486597709,en,,,,Orpington,
+442081152264,en,,,,Croydon,
+447375486598,en,,,,Purley,
+442086041153,en,,,,Sutton,
+447264375487,en,,,,Epsom,
+441372598709,en,,,,Leatherhead,
+447153264376,en,,,,Dorking,
+441306487598,en,,,,Reigate,
+447042153265,en,,,,Redhill,
+441737376487,en,,,,Crawley,
+441293598709,en,,,,Horsham,
+447931042154,en,,,,Burgess Hill,
+441444265376,en,,,,Haywards Heath,
+447820931043,en,,,,Brighton,
+441273154265,en,,,,Hove,
+447709820932,en,,,,Worthing,
+441903043154,en,,,,Littlehampton,
+447598709821,en,,,,Bognor Regis,
+441243932043,en,,,,Chichester,
+447487598710,en,,,,Petersfield,
+441730821932,en,,,,Havant,
+447376487599,en,,,,Portsmouth,
+442392710821,en,,,,Gosport,
+447265376488,en,,,,Fareham,
+441489599710,en,,,,Eastleigh,
+447154265377,en,,,,Winchester,
+441962488599,en,,,,Alresford,
+447043154266,en,,,,Alton,
+441420377488,en,,,,Farnham,
+447932043155,en,,,,Godalming,
+441483266377,en,,,,Guildford,
+447821932044,en,,,,Woking,
+441483155266,en,,,,Weybridge,
+447710821933,en,,,,Walton-on-Thames,
+441932044155,en,,,,Kingston upon Thames,
+447599710822,en,,,,Richmond,
+442089933044,en,,,,Twickenham,
+447488599711,en,,,,Hounslow,
+442085822933,en,,,,Feltham,
+447377488600,en,,,,Staines,
+441784711822,en,,,,Egham,
+447266377489,en,,,,Chertsey,
+441932600711,en,,,,Addlestone,
+447155266378,en,,,,Woking,
+441483489600,en,,,,Send,
+447044155267,en,,,,Ripley,
+441483378489,en,,,,East Horsley,
+447933044156,en,,,,Leatherhead,
+441372267378,en,,,,Ashtead,
+447822933045,en,,,,Epsom,
+441372156267,en,,,,Ewell,
+447711822934,en,,,,Sutton,
+442086045156,en,,,,Carshalton,
+447600711823,en,,,,Wallington,
+442086934045,en,,,,Croydon,
+447489600712,en,,,,South Croydon,
+442086823934,en,,,,Purley,
+447378489601,en,,,,Coulsdon,
+442087712823,en,,,,Redhill,
+447267378490,en,,,,Horley,
+441293601712,en,,,,Crawley,
+447156267379,en,,,,East Grinstead,
+441342490601,en,,,,Forest Row,
+447045156268,en,,,,Uckfield,
+441825379490,en,,,,Crowborough,
+447934045157,en,,,,Tunbridge Wells,
+441892268379,en,,,,Tonbridge,
+447823934046,en,,,,Sevenoaks,
+441732157268,en,,,,Swanley,
+447712823935,en,,,,Dartford,
+441322046157,en,,,,Gravesend,
+447601712824,en,,,,Rochester,
+441634935046,en,,,,Chatham,
